CUSTOMERNAME,CUSTOMER_ID,CONTACTFIRSTNAME,CONTACTLASTNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY
Classic Legends Inc.,1030,Maria,Hernandez,2125558493,5905 Pompton St.,NYC,10022,USA
"Australian Gift Network, Co",1031,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
"Classic Gift Ideas, Inc",1032,Francisca,Cervantes,2155554695,782 First Street,Philadelphia,71270,USA
"Saveley & Henriot, Co.",1033,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Canadian Gift Exchange Network,1034,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
West Coast Collectables Co.,1035,Steve,Thompson,3105553722,3675 Furth Circle,Burbank,94019,USA
Cambridge Collectables Co.,1036,Kyung,Tseng,6175555555,4658 Baden Av.,Cambridge,51247,USA
Super Scale Inc.,1037,Leslie,Murphy,2035559545,567 North Pendale Street,New Haven,97823,USA
"Tokyo Collectables, Ltd",1038,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Souveniers And Things Co.,1039,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Amica Models & Co.,1040,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
Scandinavian Gift Ideas,1041,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Auto Assoc. & Cie.,1042,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Mini Gifts Distributors Ltd.,1043,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Online Diecast Creations Co.,1044,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"Australian Collectors, Co.",1045,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Mini Gifts Distributors Ltd.,1046,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Collectables For Less Inc.,1047,Allen,Nelson,6175558555,7825 Douglas Av.,Brickhaven,58339,USA
"Anna's Decorations, Ltd",1048,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Quebec Home Shopping Network,1049,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
Euro Shopping Channel,1050,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Land of Toys Inc.,1051,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Australian Collectors, Co.",1052,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Lyon Souveniers,1053,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,1054,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,1055,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Daedalus Designs Imports,1056,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Herkku Gifts,1057,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Osaka Souveniers Co.,1058,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"Australian Collectors, Co.",1059,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Motor Mint Distributors Inc.,1060,Rosa,Hernandez,2155559857,11328 Douglas Av.,Philadelphia,71270,USA
Tekni Collectables Inc.,1061,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
Gift Depot Inc.,1062,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,1063,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Marta's Replicas Co.,1064,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Atelier graphique,1065,Carine,Schmitt,40.32.2555,"54, rue Royale",Nantes,44000,France
Mini Classics,1066,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Classics Inc.,1067,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,1068,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Tokyo Collectables, Ltd",1069,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Souveniers And Things Co.,1070,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
"Australian Gift Network, Co",1071,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
FunGiftIdeas.com,1072,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
Auto Canal Petit,1073,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
Euro Shopping Channel,1074,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Land of Toys Inc.,1075,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Australian Collectors, Co.",1076,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Lyon Souveniers,1077,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,1078,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,1079,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Daedalus Designs Imports,1080,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Herkku Gifts,1081,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Osaka Souveniers Co.,1082,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"Australian Collectors, Co.",1083,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Vitachrome Inc.,1084,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
Tekni Collectables Inc.,1085,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
Gift Depot Inc.,1086,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,1087,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Marta's Replicas Co.,1088,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
"Toys of Finland, Co.",1089,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Mini Classics,1090,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Classics Inc.,1091,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,1092,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Tokyo Collectables, Ltd",1093,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Technics Stores Inc.,1094,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Australian Gift Network, Co",1095,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
FunGiftIdeas.com,1096,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
"UK Collectables, Ltd.",1097,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
Euro Shopping Channel,1098,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Danish Wholesale Imports,1099,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
Salzburg Collectables,1100,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
"Stylish Desk Decors, Co.",1101,Ann,Brown,(171) 555-0297,35 King George,London,WX3 6FW,UK
Mini Creations Ltd.,1102,Wing C,Tam,5085559555,4575 Hillside Dr.,New Bedford,50553,USA
"Toys of Finland, Co.",1103,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Scandinavian Gift Ideas,1104,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Alpha Cognac,1105,Annette,Roulet,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France
"Double Decker Gift Stores, Ltd",1106,Thomas,Hardy,(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK
Enaco Distributors,1107,Eduardo,Saavedra,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain
Collectable Mini Designs Co.,1108,Valarie,Thompson,7605558146,361 Furth Circle,San Diego,91217,USA
Land of Toys Inc.,1109,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Quebec Home Shopping Network,1110,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
Petit Auto,1111,Catherine,Dewey,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
"Royal Canadian Collectables, Ltd.",1112,Elizabeth,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
Gifts4AllAges.com,1113,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,Boston,51003,USA
"Classic Gift Ideas, Inc",1114,Francisca,Cervantes,2155554695,782 First Street,Philadelphia,71270,USA
giftsbymail.co.uk,1115,Helen,Bennett,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK
Baane Mini Imports,1116,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
Classic Legends Inc.,1117,Maria,Hernandez,2125558493,5905 Pompton St.,NYC,10022,USA
Euro Shopping Channel,1118,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Reims Collectables,1119,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
"Oulu Toy Supplies, Inc.",1120,Pirkko,Koskitalo,981-443655,Torikatu 38,Oulu,90110,Finland
Lyon Souveniers,1121,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
The Sharp Gifts Warehouse,1122,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Gifts4AllAges.com,1123,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,Boston,51003,USA
Baane Mini Imports,1124,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
"La Corne D'abondance, Co.",1125,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
"Corrida Auto Replicas, Ltd",1126,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
Technics Stores Inc.,1127,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Dragon Souveniers, Ltd.",1128,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
Mini Auto Werke,1129,Roland,Mendel,7675-3555,Kirchgasse 6,Graz,8010,Austria
"Stylish Desk Decors, Co.",1130,Ann,Brown,(171) 555-0297,35 King George,London,WX3 6FW,UK
"Classic Gift Ideas, Inc",1131,Francisca,Cervantes,2155554695,782 First Street,Philadelphia,71270,USA
"Saveley & Henriot, Co.",1132,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Diecast Collectables,1133,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
Handji Gifts& Co,1134,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Mini Gifts Distributors Ltd.,1135,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Super Scale Inc.,1136,Leslie,Murphy,2035559545,567 North Pendale Street,New Haven,97823,USA
Handji Gifts& Co,1137,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Souveniers And Things Co.,1138,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Diecast Classics Inc.,1139,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Scandinavian Gift Ideas,1140,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Marta's Replicas Co.,1141,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Canadian Gift Exchange Network,1142,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
Online Diecast Creations Co.,1143,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"Volvo Model Replicas, Co",1144,Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
"Australian Collectors, Co.",1145,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Mini Gifts Distributors Ltd.,1146,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Anna's Decorations, Ltd",1147,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
"Anna's Decorations, Ltd",1148,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Quebec Home Shopping Network,1149,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
La Rochelle Gifts,1150,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Cruz & Sons Co.,1151,Arnold,Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines
Marseille Mini Autos,1152,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Mini Gifts Distributors Ltd.,1153,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Collectables For Less Inc.,1154,Allen,Nelson,6175558555,7825 Douglas Av.,Brickhaven,58339,USA
"Anna's Decorations, Ltd",1155,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Herkku Gifts,1156,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
"Toms Spezialitten, Ltd",1157,Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
Euro Shopping Channel,1158,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Auto Canal Petit,1159,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
"Vida Sport, Ltd",1160,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
Danish Wholesale Imports,1161,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
"UK Collectables, Ltd.",1162,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
L'ordine Souveniers,1163,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Online Mini Collectables,1164,Miguel,Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA
"Vida Sport, Ltd",1165,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
"Blauer See Auto, Co.",1166,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
"Toms Spezialitten, Ltd",1167,Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
"Volvo Model Replicas, Co",1168,Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
Land of Toys Inc.,1169,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Salzburg Collectables,1170,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
Suominen Souveniers,1171,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
La Rochelle Gifts,1172,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Scandinavian Gift Ideas,1173,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Salzburg Collectables,1174,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
Danish Wholesale Imports,1175,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
"Dragon Souveniers, Ltd.",1176,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
Muscle Machine Inc,1177,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Mini Gifts Distributors Ltd.,1178,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Euro Shopping Channel,1179,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Dragon Souveniers, Ltd.",1180,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
L'ordine Souveniers,1181,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Mini Creations Ltd.,1182,Wing C,Tam,5085559555,4575 Hillside Dr.,New Bedford,50553,USA
Super Scale Inc.,1183,Leslie,Murphy,2035559545,567 North Pendale Street,New Haven,97823,USA
"Saveley & Henriot, Co.",1184,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
"Clover Collections, Co.",1185,Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
CAF Imports,1186,Jesus,Fernandez,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,28023,Spain
Suominen Souveniers,1187,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
Diecast Classics Inc.,1188,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Mini Gifts Distributors Ltd.,1189,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Amica Models & Co.,1190,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
"AV Stores, Co.",1191,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Heintze Collectables,1192,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Baane Mini Imports,1193,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
"La Corne D'abondance, Co.",1194,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
"Corrida Auto Replicas, Ltd",1195,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
Reims Collectables,1196,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
Mini Gifts Distributors Ltd.,1197,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Mini Gifts Distributors Ltd.,1198,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Lyon Souveniers,1199,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Gift Depot Inc.,1200,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
Baane Mini Imports,1201,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
Mini Gifts Distributors Ltd.,1202,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Corrida Auto Replicas, Ltd",1203,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
Technics Stores Inc.,1204,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Dragon Souveniers, Ltd.",1205,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
Mini Auto Werke,1206,Roland,Mendel,7675-3555,Kirchgasse 6,Graz,8010,Austria
"Australian Gift Network, Co",1207,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
"Classic Gift Ideas, Inc",1208,Francisca,Cervantes,2155554695,782 First Street,Philadelphia,71270,USA
"Saveley & Henriot, Co.",1209,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Canadian Gift Exchange Network,1210,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
Auto Assoc. & Cie.,1211,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Mini Gifts Distributors Ltd.,1212,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Super Scale Inc.,1213,Leslie,Murphy,2035559545,567 North Pendale Street,New Haven,97823,USA
"Tokyo Collectables, Ltd",1214,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Souveniers And Things Co.,1215,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Diecast Classics Inc.,1216,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Scandinavian Gift Ideas,1217,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Auto Assoc. & Cie.,1218,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Canadian Gift Exchange Network,1219,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
Online Diecast Creations Co.,1220,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"Australian Collectors, Co.",1221,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Mini Gifts Distributors Ltd.,1222,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Anna's Decorations, Ltd",1223,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
"Anna's Decorations, Ltd",1224,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Quebec Home Shopping Network,1225,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
Euro Shopping Channel,1226,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Land of Toys Inc.,1227,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Reims Collectables,1228,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
Lyon Souveniers,1229,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,1230,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
"Anna's Decorations, Ltd",1231,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Daedalus Designs Imports,1232,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Toys4GrownUps.com,1233,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Auto Canal Petit,1234,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
Daedalus Designs Imports,1235,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Vitachrome Inc.,1236,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
Tekni Collectables Inc.,1237,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
Gift Depot Inc.,1238,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
Online Mini Collectables,1239,Miguel,Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA
Marta's Replicas Co.,1240,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
"Toys of Finland, Co.",1241,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Baane Mini Imports,1242,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
